MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Mismatched bases R2 (excl. indels),56350817,0.33
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Q30 bases,33732054713,94.74
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Q30 bases R1,16938033322,95.17
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Q30 bases R2,16794021391,94.30
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Q30 bases (excl. dups & clipped bases),32150124751
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Total alignments,236034422
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Secondary alignments,0
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Supplementary (chimeric) alignments,1028042
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Estimated read length,147.57
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Insert length: mean,291.48
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Insert length: median,281.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_5,Insert length: standard deviation,108.27
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_6,Total reads in RG,244670000,100.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_6,Number of duplicate marked reads,14336615,5.86
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_6,Number of duplicate marked and mate reads removed,NA
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_6,Number of unique reads (excl. duplicate marked reads),230333385,94.14
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_6,Reads with mate sequenced,244670000,100.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_6,Reads without mate sequenced,0,0.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_6,QC-failed reads,0,0.00
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_6,Mapped reads,238363153,97.42
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_6,Mapped reads adjusted for excluded mapping,238363153,97.42
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_6,Mapped reads adjusted for filtered mapping,242719316,99.20
MAPPING/ALIGNING PER RG,HG002_23KCWCLT3_6,Mapped reads adjusted for filtered and excluded mapping,242719316,99.20
